col_no,pos_fr_rd,treatment,time_point,date,action,reorg_or_removed_box,numerical_trt,gross_wt_lbs,bip_style_fob,hobo_no,hobo_sensor_status_30_Sep,logger_connection_issue,end_of_file_issue,rh_sensor_propolis,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round_1,lbs_fed_round_1,sides_added_round_1,new_sides_total,sides_honey_short_of_12,lbs_per_side,lbs_to_feed_round_2,gals_to_feed_round_2
D10,1,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,12:20,QS-MP,,3,,"Supersedure in progress. We left the newly marked QS-MP queen, and stored the older QS-B queen for future use",Richland pkg,Richland,,,T,T,T,14,17,0,17,20.5038,65.0843,317.4,5.4,,,,NA,NA,T,23,,,7,1,2,,,,,,,,,,,7.325,5.75,0.175,6.775,0.55,5.575,,,,,,8899.88,377.30,6.78,0.55,18642.80,476.64,,2143.92,2620.56,,,,,,,,,,,
D20,2,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,12:33,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,15,26,1,27,18.1805,56.6555,311.6,8.7,,,,NA,NA,T,28,,,3,1,1,,,,,,,,,,,8.15,5.6,0,7.85,1.25,5.6,,,,,,9902.25,0.00,7.85,1.25,18726.40,857.95,,2621.70,3479.64,,,,,,,,,,,
D15,3,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,12:44,QS-B,,3,,,Richland pkg,Richland,,,T,T,T,16,20,0,20,18.0171,65.7496,364.9,5.5,,,,NA,NA,T,29,,,0,1,2,,,,,,,,,,,8.915,5.825,0.225,9.9,0.75,5.6,,,,,,10831.73,485.10,9.90,0.75,18726.40,593.63,,2715.33,3308.96,,,,,,,,,,,
D16,4,AEC,1,18-Sep,Pre-assess,,,,,,,,,,,,,,12:55,QR,,3,,,Richland pkg,Richland,,,T,T,T,17,17,0,17,15.8095,60.4005,382.1,4.4,,,,24,48,T,27,,,3,1,2,,,,,,,,,,,10.09,7.15,0.175,6.2,0.55,6.975,,,,,,12259.35,377.30,6.20,0.55,23324.40,545.50,188.65,3148.79,3882.94,,,,,,,,,,,
D5,5,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,13:05,QR,,2.75,,,Richland pkg,Richland,,,T,T,T,18,52,0,52,20.3816,64.9533,318.7,16.3,,,,37,50,T,42,,,0,1,0,,,,,,,,,,,8.325,6.3,0.15,7.9,2.7,6.15,,,,,,10114.88,323.40,7.90,2.70,20565.60,1650.44,239.32,4318.78,6208.54,,,,,,,,,,,
D6,6,Apiguard_Api,1,18-Sep,Pre-assess,,,,,,,,,,,,,,13:14,QS-B,,2.75,,,Richland pkg,Richland,,,T,T,T,19,16,0,16,19.3211,63.2581,327.4,4.9,,,,23,50,T,22,,,1,1,1,,,,,,,,,,,8.725,6.75,0.05,8,0.725,6.7,,,,,,10600.88,107.80,8.00,0.73,22404.80,518.06,49.59,2464.53,3032.17,,,,,,,,,,,
9,7,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,13:27,QR,,3,,,Richland pkg,Richland,,,T,T,T,20,2,0,2,16.563,50.8402,307.0,0.7,23-Sep,,,NA,NA,T,16,,,0,0,2,,,,,,,,,,,14,6.675,0,8.05,2.1,6.675,,,,,,17010.00,0.00,8.05,2.10,22321.20,110.83,,1785.70,1896.53,,,,,,,,,,,
D7,8,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,8:25,QR,,1.75,,,Richland pkg,Richland,,,T,T,T,1,22,0,22,15.3871,53.1955,345.7,6.4,,,,31,50,T,62,,,1,1,1,,,,,,,,,,,5.725,3.575,0.15,5.3,4.35,3.425,,,,,,6955.88,323.40,5.30,4.35,11453.20,442.65,200.51,3550.49,4193.65,,,,,,,,,,,
D8,9,Apivar,1,18-Sep,Pre-assess,,,,,,,,,,,,,,9:07,QS-B,,3.5,,,Richland pkg,Richland,,,T,T,T,3,35,0,35,18.2633,58.8445,322.2,10.9,,,,35,50,T,22,,,1,1,2,,,,,,,,,,,11.686,6.4,0.367,5.85,0.125,6.033,,,,,,14198.49,791.25,5.85,0.13,20174.35,1542.35,553.88,2219.18,4315.41,,,,,,,,,,,
RC1,10,Apivar,1,19-Sep,Pre-assess,,,,,,,,,,,,,,8:20,QR,,2.0,,,Christian Control,Bee Lab,,,T,T,T,BL RC1,97,3,100,16.6891,71.4522,428.1,23.4,,,,NA,NA,T,58,,,1,1,1,,,,,,,,,,,6.209,4.475,0,7.825,2.175,4.475,,,,,,7543.94,0.00,7.83,2.18,14964.40,1762.04,,4339.68,6101.71,,,,,,,,,,,
