"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","mites_recov_total","phor","infest_200","mites_tot","bees","bees_frames","wk_cells","wk_frames","honey_frames","pollen_frames"
"1","D10","Apiguard_Api",1,"18-Sep",0,"QS-MP","",3,"Supersedure in progress. We left the newly marked QS-MP queen, and stored the older QS-B queen for future use",317.4,17,5.4,23,2620.56,8899.88,3.6625,18642.8,2.7875,3.39,0.275
"2","D20","Apivar",1,"18-Sep",0,"QS-B","",3,"",311.6,27,8.7,28,3479.64,9902.25,4.075,18726.4,2.8,3.925,0.625
"3","D15","AEC",1,"18-Sep",0,"QS-B","",3,"",364.9,20,5.5,29,3308.96,10831.73,4.4575,18726.4,2.8,4.95,0.375
"4","D16","AEC",1,"18-Sep",0,"QR","",3,"",382.1,17,4.4,27,3882.94,12259.35,5.045,23324.4,3.4875,3.1,0.275
"5","D5","Apivar",1,"18-Sep",0,"QR","",2.75,"",318.7,52,16.3,42,6208.54,10114.88,4.1625,20565.6,3.075,3.95,1.35
"6","D6","Apiguard_Api",1,"18-Sep",0,"QS-B","",2.75,"",327.4,16,4.9,22,3032.17,10600.88,4.3625,22404.8,3.35,4,0.365
"7","9","Apivar",1,"18-Sep",0,"QR","",3,"",307,2,0.7,16,1896.53,17010,7,22321.2,3.3375,4.025,1.05
"8","D7","Apivar",1,"18-Sep",0,"QR","",1.75,"",345.7,22,6.4,62,4193.65,6955.88,2.8625,11453.2,1.7125,2.65,2.175
"9","D8","Apivar",1,"18-Sep",0,"QS-B","",3.5,"",322.2,35,10.9,22,4315.41,14198.49,5.843,20174.35,3.0165,2.925,0.065
"10","RC1","Apivar",1,"19-Sep",0,"QR","",2,"",428.1,100,23.4,58,6101.71,7543.94,3.1045,14964.4,2.2375,3.915,1.09
"11","D11","Apivar",1,"18-Sep",0,"QS-B","",3,"",373.7,65,17.4,38,5923.79,9446.63,3.8875,21819.6,3.2625,5.075,0.15
"12","D25","Apivar",1,"18-Sep",0,"QS-B","",2,"",357.6,30,8.4,16,2105.82,7563.38,3.1125,18392,2.75,4.65,0.075
"13","D13","Apiguard_Api",1,"18-Sep",0,"QR","",2.5,"",263,70,26.6,44,5330.42,5862.38,2.4125,17138,2.5625,4.65,0.675
"14","N5","AEC",1,"18-Sep",0,"QR","",2.5,"Maybe reverse boxes",284.4,14,4.9,7,787.4,5771.25,2.375,14379.2,2.15,3.625,0.075
"15","N68","AEC",1,"18-Sep",0,"QS-B","",2,"",261.4,29,11.1,25,2734.95,10995.75,4.525,12122,1.8125,3.75,0.215
"16","D3","Apiguard_Api",1,"18-Sep",0,"QS-P","",2,"",290.6,37,12.7,70,3673.12,6773.63,2.7875,7189.6,1.075,3.49,0.59
"17","2","Apiguard_Api",1,"19-Sep",0,"QS-MB","",4,"",396.3,10,2.5,2,438.87,11329.88,4.6625,15298.8,2.2875,5.875,1.175
"18","D17","Apiguard_Api",1,"18-Sep",0,"QR","",2,"",351,11,3.1,10,1912.02,16463.25,6.775,27922.4,4.175,4.05,0.525
"19","D19","Apiguard_Api",1,"18-Sep",0,"QS-MP","",2,"",356,39,11,30,4335.87,11876.63,4.8875,20231.2,3.025,4.515,0.125
"20","8","Apiguard_Api",1,"19-Sep",0,"QR","",3,"",307.5,28,9.1,8,2046.85,11937.38,4.9125,23993.2,3.5875,5.05,NA
"21","L75","Apiguard_Api",1,"19-Sep",0,"QS-B","",3,"",412.5,31,7.5,18,2276.02,11664,4.8,15549.6,2.325,6.4,0.9
"22","D21","Apivar",1,"18-Sep",0,"QR","",3.5,"",343.6,9,2.6,11,1605.3,13365,5.5,22822.8,3.4125,3.675,0.215
"23","D22","AEC",1,"18-Sep",0,"QR","",2,"",313.7,73,23.3,46,5279.63,5971.73,2.4575,16218.4,2.425,4.7,0.425
"24","D23","AEC",1,"18-Sep",0,"QS-B","",2,"",314.5,76,24.2,36,3971.61,5163.75,2.125,15131.6,2.2625,4.625,0.415
"25","C12","Apiguard_Api",1,"19-Sep",0,"QS-P","",2,"Empty upstairs",286.5,26,9.1,44,5342.04,10023.75,4.125,20147.6,3.0125,2.79,0.54
"26","D24","Apiguard_Api",1,"18-Sep",0,"QS-B","",2.5,"",324.1,58,17.9,34,4584.12,8383.5,3.45,18141.2,2.7125,3.15,0.3
"27","D12","AEC",1,"18-Sep",0,"QS-B","",2.75,"",349.6,70,20,43,5269.04,6226.88,2.5625,18392,2.75,5.925,1.2
"28","D33","AEC",1,"18-Sep",0,"QS-B","",1.5,"",291.9,59,20.2,71,5740.12,5346,2.2,13125.2,1.9625,5.425,0.475
"29","D27","Apiguard_Api",1,"18-Sep",0,"QS-B","",3.5,"",263.3,54,20.5,59,8868.4,14640.75,6.025,18392,2.75,2.465,0.275
